Year,Primary Type,Count,Mean_Temp
2012,THEFT,335,36.5
2012,THEFT,135,23.5
2012,THEFT,169,20
2012,THEFT,175,33
2012,THEFT,193,36
2012,THEFT,200,46.5
2012,THEFT,198,36
2012,THEFT,171,33.5
2012,THEFT,204,35.5
2012,THEFT,179,38.5
2012,THEFT,200,40.5
2012,THEFT,171,28
2012,THEFT,184,19.5
2012,THEFT,175,13.5
2012,THEFT,151,18
2012,THEFT,176,37.5
2012,THEFT,187,28
2012,THEFT,187,18
2012,THEFT,192,16.5
2012,THEFT,168,14.5
2012,THEFT,149,20.5
2012,THEFT,131,28
2012,THEFT,181,38
2012,THEFT,186,31
2012,THEFT,215,29
2012,THEFT,216,35
2012,THEFT,191,38.5
2012,THEFT,160,30
2012,THEFT,169,26
2012,THEFT,177,37.5
2012,THEFT,187,50
2012,THEFT,236,40
2012,THEFT,175,37
2012,THEFT,195,36
2012,THEFT,169,35.5
2012,THEFT,116,37
2012,THEFT,169,31.5
2012,THEFT,190,32.5
2012,THEFT,182,31
2012,THEFT,177,28.5
2012,THEFT,160,25
2012,THEFT,143,15
2012,THEFT,137,25.5
2012,THEFT,163,25.5
2012,THEFT,170,32.5
2012,THEFT,182,36.5
2012,THEFT,193,40.5
2012,THEFT,185,38.5
2012,THEFT,151,33
2012,THEFT,114,31
2012,THEFT,146,33.5
2012,THEFT,169,37
2012,THEFT,186,36.5
2012,THEFT,170,34.5
2012,THEFT,167,30.5
2012,THEFT,185,21.5
2012,THEFT,125,35
2012,THEFT,187,32.5
2012,THEFT,172,33.5
2012,THEFT,173,47
2012,THEFT,247,37.5
2012,THEFT,184,37
2012,THEFT,161,32.5
2012,THEFT,120,29
2012,THEFT,159,29
2012,THEFT,170,49.5
2012,THEFT,189,61
2012,THEFT,170,50
2012,THEFT,202,34
2012,THEFT,177,43.5
2012,THEFT,152,55
2012,THEFT,170,58.5
2012,THEFT,183,59
2012,THEFT,173,63.5
2012,THEFT,202,64.5
2012,THEFT,242,64
2012,THEFT,220,70
2012,THEFT,176,69
2012,THEFT,212,69.5
2012,THEFT,189,74
2012,THEFT,190,74
2012,THEFT,219,71.5
2012,THEFT,236,59
2012,THEFT,201,56
2012,THEFT,163,57
2012,THEFT,191,42
2012,THEFT,187,57
2012,THEFT,236,56.5
2012,THEFT,211,44
2012,THEFT,210,46.5
2012,THEFT,195,44.5
2012,THEFT,244,49.5
2012,THEFT,202,54.5
2012,THEFT,218,59
2012,THEFT,206,52
2012,THEFT,215,43.5
2012,THEFT,227,43
2012,THEFT,205,50.5
2012,THEFT,154,55.5
2012,THEFT,228,52
2012,THEFT,213,40
2012,THEFT,190,43
2012,THEFT,183,47.5
2012,THEFT,208,53
2012,THEFT,237,60.5
2012,THEFT,235,69
2012,THEFT,250,55
2012,THEFT,227,48
2012,THEFT,201,56
2012,THEFT,186,53
2012,THEFT,218,44.5
2012,THEFT,199,44.5
2012,THEFT,139,47
2012,THEFT,199,49.5
2012,THEFT,210,52
2012,THEFT,216,53.5
2012,THEFT,225,47
2012,THEFT,219,44.5
2012,THEFT,188,47.5
2012,THEFT,152,50
2012,THEFT,197,56
2012,THEFT,260,57
2012,THEFT,205,69
2012,THEFT,200,76
2012,THEFT,216,64
2012,THEFT,216,56
2012,THEFT,158,60.5
2012,THEFT,222,58
2012,THEFT,224,61
2012,THEFT,211,53.5
2012,THEFT,209,56.5
2012,THEFT,207,60.5
2012,THEFT,201,61
2012,THEFT,168,61
2012,THEFT,182,62.5
2012,THEFT,230,71.5
2012,THEFT,215,57.5
2012,THEFT,210,59.5
2012,THEFT,225,69
2012,THEFT,169,75.5
2012,THEFT,197,79
2012,THEFT,200,60.5
2012,THEFT,209,60.5
2012,THEFT,216,64.5
2012,THEFT,256,77
2012,THEFT,247,74
2012,THEFT,213,73
2012,THEFT,184,83.5
2012,THEFT,174,86
2012,THEFT,216,73
2012,THEFT,222,61.5
2012,THEFT,200,50.5
2012,THEFT,313,57
2012,THEFT,207,62.5
2012,THEFT,212,69
2012,THEFT,215,67
2012,THEFT,185,63.5
2012,THEFT,224,64
2012,THEFT,213,68
2012,THEFT,251,71
2012,THEFT,231,77.5
2012,THEFT,193,80
2012,THEFT,244,80
2012,THEFT,251,68.5
2012,THEFT,237,63
2012,THEFT,223,71.5
2012,THEFT,268,76.5
2012,THEFT,245,81.5
2012,THEFT,189,78
2012,THEFT,217,81.5
2012,THEFT,246,86.5
2012,THEFT,258,86
2012,THEFT,252,77.5
2012,THEFT,261,75.5
2012,THEFT,239,74.5
2012,THEFT,226,79.5
2012,THEFT,234,68
2012,THEFT,237,69.5
2012,THEFT,247,74.5
2012,THEFT,242,88
2012,THEFT,276,78.5
2012,THEFT,235,80.5
2012,THEFT,280,79.5
2012,THEFT,263,84.5
2012,THEFT,261,86.5
2012,THEFT,215,90.5
2012,THEFT,199,91
2012,THEFT,217,92.5
2012,THEFT,240,85.5
2012,THEFT,197,76.5
