Year,Primary_Type,Count,Mean_Temp
2012,THEFT,335,36.5
2012,BATTERY,263,36.5
2012,CRIMINAL DAMAGE,158,36.5
2012,NARCOTICS,77,36.5
2012,ASSAULT,48,36.5
2012,BURGLARY,39,36.5
2012,THEFT,135,23.5
2012,BATTERY,112,23.5
2012,NARCOTICS,92,23.5
2012,CRIMINAL DAMAGE,79,23.5
2012,BURGLARY,42,23.5
2012,ASSAULT,38,23.5
2012,THEFT,169,20
2012,BATTERY,115,20
2012,NARCOTICS,100,20
2012,CRIMINAL DAMAGE,81,20
2012,BURGLARY,69,20
2012,ASSAULT,45,20
2012,THEFT,175,33
2012,BATTERY,106,33
2012,NARCOTICS,95,33
2012,CRIMINAL DAMAGE,93,33
2012,BURGLARY,59,33
2012,ASSAULT,32,33
2012,THEFT,193,36
2012,BATTERY,138,36
2012,NARCOTICS,98,36
2012,CRIMINAL DAMAGE,80,36
2012,BURGLARY,58,36
2012,ASSAULT,42,36
2012,THEFT,200,46.5
2012,BATTERY,120,46.5
2012,NARCOTICS,118,46.5
2012,CRIMINAL DAMAGE,109,46.5
2012,BURGLARY,61,46.5
2012,ASSAULT,48,46.5
2012,THEFT,198,36
2012,BATTERY,167,36
2012,CRIMINAL DAMAGE,102,36
2012,NARCOTICS,95,36
2012,BURGLARY,47,36
2012,ASSAULT,32,36
2012,THEFT,171,33.5
2012,BATTERY,133,33.5
2012,CRIMINAL DAMAGE,108,33.5
2012,NARCOTICS,94,33.5
2012,ASSAULT,47,33.5
2012,BURGLARY,42,33.5
2012,THEFT,204,35.5
2012,BATTERY,139,35.5
2012,NARCOTICS,112,35.5
2012,CRIMINAL DAMAGE,78,35.5
2012,BURGLARY,75,35.5
2012,ASSAULT,31,35.5
2012,THEFT,179,38.5
2012,BATTERY,130,38.5
2012,NARCOTICS,124,38.5
2012,CRIMINAL DAMAGE,89,38.5
2012,BURGLARY,74,38.5
2012,ASSAULT,53,38.5
2012,THEFT,200,40.5
2012,BATTERY,136,40.5
2012,NARCOTICS,112,40.5
2012,CRIMINAL DAMAGE,85,40.5
2012,BURGLARY,74,40.5
2012,ASSAULT,50,40.5
2012,THEFT,171,28
2012,BATTERY,98,28
2012,NARCOTICS,81,28
2012,CRIMINAL DAMAGE,68,28
2012,BURGLARY,64,28
2012,ASSAULT,42,28
2012,THEFT,184,19.5
2012,BATTERY,115,19.5
2012,NARCOTICS,108,19.5
2012,CRIMINAL DAMAGE,54,19.5
2012,BURGLARY,52,19.5
2012,ASSAULT,39,19.5
2012,THEFT,175,13.5
2012,BATTERY,144,13.5
2012,NARCOTICS,102,13.5
2012,CRIMINAL DAMAGE,77,13.5
2012,ASSAULT,42,13.5
2012,BURGLARY,37,13.5
2012,BATTERY,171,18
2012,THEFT,151,18
2012,NARCOTICS,94,18
2012,CRIMINAL DAMAGE,78,18
2012,BURGLARY,55,18
2012,ASSAULT,34,18
2012,THEFT,176,37.5
2012,NARCOTICS,136,37.5
2012,BATTERY,115,37.5
2012,CRIMINAL DAMAGE,94,37.5
2012,BURGLARY,44,37.5
2012,ASSAULT,40,37.5
2012,THEFT,187,28
2012,BATTERY,131,28
2012,BURGLARY,89,28
2012,CRIMINAL DAMAGE,84,28
2012,NARCOTICS,81,28
2012,ASSAULT,40,28
2012,THEFT,187,18
2012,BATTERY,113,18
2012,NARCOTICS,109,18
2012,CRIMINAL DAMAGE,75,18
2012,BURGLARY,58,18
2012,ASSAULT,31,18
2012,THEFT,192,16.5
2012,BATTERY,122,16.5
2012,NARCOTICS,93,16.5
2012,CRIMINAL DAMAGE,61,16.5
2012,BURGLARY,51,16.5
2012,ASSAULT,33,16.5
2012,THEFT,168,14.5
2012,BATTERY,105,14.5
2012,NARCOTICS,73,14.5
2012,BURGLARY,61,14.5
2012,CRIMINAL DAMAGE,60,14.5
2012,ASSAULT,32,14.5
2012,THEFT,149,20.5
2012,BATTERY,134,20.5
2012,NARCOTICS,98,20.5
2012,CRIMINAL DAMAGE,72,20.5
2012,ASSAULT,35,20.5
2012,BURGLARY,33,20.5
2012,BATTERY,144,28
2012,THEFT,131,28
2012,NARCOTICS,96,28
2012,CRIMINAL DAMAGE,87,28
2012,BURGLARY,48,28
2012,ASSAULT,25,28
2012,THEFT,181,38
2012,BATTERY,140,38
2012,NARCOTICS,107,38
2012,CRIMINAL DAMAGE,85,38
2012,BURGLARY,65,38
2012,ASSAULT,34,38
2012,THEFT,186,31
2012,BATTERY,163,31
2012,NARCOTICS,110,31
2012,CRIMINAL DAMAGE,83,31
2012,BURGLARY,61,31
2012,ASSAULT,44,31
