,Year,Month,Day,Primary Type,Count,Date,Mean_Temp
0,2012,1,1,THEFT,335,2012-01-01,36.5
1,2012,1,1,BATTERY,263,2012-01-01,36.5
2,2012,1,1,CRIMINAL DAMAGE,158,2012-01-01,36.5
3,2012,1,1,DECEPTIVE PRACTICE,125,2012-01-01,36.5
4,2012,1,1,OTHER OFFENSE,88,2012-01-01,36.5
5,2012,1,1,OFFENSE INVOLVING CHILDREN,81,2012-01-01,36.5
6,2012,1,1,NARCOTICS,77,2012-01-01,36.5
7,2012,1,1,ASSAULT,48,2012-01-01,36.5
8,2012,1,1,SEX OFFENSE,48,2012-01-01,36.5
9,2012,1,1,MOTOR VEHICLE THEFT,45,2012-01-01,36.5
10,2012,1,1,WEAPONS VIOLATION,45,2012-01-01,36.5
11,2012,1,1,ROBBERY,42,2012-01-01,36.5
12,2012,1,1,CRIM SEXUAL ASSAULT,40,2012-01-01,36.5
13,2012,1,1,BURGLARY,39,2012-01-01,36.5
14,2012,1,1,CRIMINAL TRESPASS,15,2012-01-01,36.5
15,2012,1,1,PUBLIC PEACE VIOLATION,6,2012-01-01,36.5
16,2012,1,1,INTERFERENCE WITH PUBLIC OFFICER,2,2012-01-01,36.5
17,2012,1,1,LIQUOR LAW VIOLATION,2,2012-01-01,36.5
18,2012,1,1,PROSTITUTION,2,2012-01-01,36.5
19,2012,1,1,ARSON,1,2012-01-01,36.5
20,2012,1,2,THEFT,135,2012-01-02,23.5
21,2012,1,2,BATTERY,112,2012-01-02,23.5
22,2012,1,2,NARCOTICS,92,2012-01-02,23.5
23,2012,1,2,CRIMINAL DAMAGE,79,2012-01-02,23.5
24,2012,1,2,OTHER OFFENSE,56,2012-01-02,23.5
25,2012,1,2,MOTOR VEHICLE THEFT,44,2012-01-02,23.5
26,2012,1,2,BURGLARY,42,2012-01-02,23.5
27,2012,1,2,ASSAULT,38,2012-01-02,23.5
28,2012,1,2,ROBBERY,34,2012-01-02,23.5
29,2012,1,2,DECEPTIVE PRACTICE,28,2012-01-02,23.5
30,2012,1,2,CRIMINAL TRESPASS,16,2012-01-02,23.5
31,2012,1,2,WEAPONS VIOLATION,6,2012-01-02,23.5
32,2012,1,2,HOMICIDE,4,2012-01-02,23.5
33,2012,1,2,INTERFERENCE WITH PUBLIC OFFICER,3,2012-01-02,23.5
34,2012,1,2,PUBLIC PEACE VIOLATION,3,2012-01-02,23.5
35,2012,1,2,STALKING,3,2012-01-02,23.5
36,2012,1,2,SEX OFFENSE,2,2012-01-02,23.5
37,2012,1,2,ARSON,1,2012-01-02,23.5
38,2012,1,2,OFFENSE INVOLVING CHILDREN,1,2012-01-02,23.5
39,2012,1,2,PROSTITUTION,1,2012-01-02,23.5
40,2012,1,3,THEFT,169,2012-01-03,20.0
41,2012,1,3,BATTERY,115,2012-01-03,20.0
42,2012,1,3,NARCOTICS,100,2012-01-03,20.0
43,2012,1,3,CRIMINAL DAMAGE,81,2012-01-03,20.0
44,2012,1,3,BURGLARY,69,2012-01-03,20.0
45,2012,1,3,MOTOR VEHICLE THEFT,49,2012-01-03,20.0
46,2012,1,3,OTHER OFFENSE,47,2012-01-03,20.0
47,2012,1,3,DECEPTIVE PRACTICE,46,2012-01-03,20.0
48,2012,1,3,ASSAULT,45,2012-01-03,20.0
49,2012,1,3,ROBBERY,29,2012-01-03,20.0
50,2012,1,3,CRIMINAL TRESPASS,14,2012-01-03,20.0
51,2012,1,3,PROSTITUTION,10,2012-01-03,20.0
52,2012,1,3,WEAPONS VIOLATION,8,2012-01-03,20.0
53,2012,1,3,OFFENSE INVOLVING CHILDREN,6,2012-01-03,20.0
54,2012,1,3,CRIM SEXUAL ASSAULT,5,2012-01-03,20.0
55,2012,1,3,PUBLIC PEACE VIOLATION,3,2012-01-03,20.0
56,2012,1,3,INTERFERENCE WITH PUBLIC OFFICER,2,2012-01-03,20.0
57,2012,1,3,LIQUOR LAW VIOLATION,2,2012-01-03,20.0
58,2012,1,3,SEX OFFENSE,2,2012-01-03,20.0
59,2012,1,3,ARSON,1,2012-01-03,20.0
60,2012,1,3,HOMICIDE,1,2012-01-03,20.0
61,2012,1,3,KIDNAPPING,1,2012-01-03,20.0
62,2012,1,3,STALKING,1,2012-01-03,20.0
63,2012,1,4,THEFT,175,2012-01-04,33.0
64,2012,1,4,BATTERY,106,2012-01-04,33.0
65,2012,1,4,NARCOTICS,95,2012-01-04,33.0
66,2012,1,4,CRIMINAL DAMAGE,93,2012-01-04,33.0
67,2012,1,4,MOTOR VEHICLE THEFT,61,2012-01-04,33.0
68,2012,1,4,BURGLARY,59,2012-01-04,33.0
69,2012,1,4,OTHER OFFENSE,51,2012-01-04,33.0
70,2012,1,4,DECEPTIVE PRACTICE,39,2012-01-04,33.0
71,2012,1,4,ROBBERY,33,2012-01-04,33.0
72,2012,1,4,ASSAULT,32,2012-01-04,33.0
73,2012,1,4,CRIMINAL TRESPASS,22,2012-01-04,33.0
74,2012,1,4,PROSTITUTION,9,2012-01-04,33.0
75,2012,1,4,WEAPONS VIOLATION,9,2012-01-04,33.0
76,2012,1,4,OFFENSE INVOLVING CHILDREN,4,2012-01-04,33.0
77,2012,1,4,SEX OFFENSE,3,2012-01-04,33.0
78,2012,1,4,CRIM SEXUAL ASSAULT,2,2012-01-04,33.0
79,2012,1,4,HOMICIDE,2,2012-01-04,33.0
80,2012,1,4,PUBLIC PEACE VIOLATION,2,2012-01-04,33.0
81,2012,1,4,ARSON,1,2012-01-04,33.0
82,2012,1,4,INTERFERENCE WITH PUBLIC OFFICER,1,2012-01-04,33.0
83,2012,1,5,THEFT,193,2012-01-05,36.0
84,2012,1,5,BATTERY,138,2012-01-05,36.0
85,2012,1,5,NARCOTICS,98,2012-01-05,36.0
