Date,Mean_Temp
1/1/12,36.5
1/2/12,23.5
1/3/12,20
1/4/12,33
1/5/12,36
1/6/12,46.5
1/7/12,36
1/8/12,33.5
1/9/12,35.5
1/10/12,38.5
1/11/12,40.5
1/12/12,28
1/13/12,19.5
1/14/12,13.5
1/15/12,18
1/16/12,37.5
1/17/12,28
1/18/12,18
1/19/12,16.5
1/20/12,14.5
1/21/12,20.5
1/22/12,28
1/23/12,38
1/24/12,31
1/25/12,29
1/26/12,35
1/27/12,38.5
1/28/12,30
1/29/12,26
1/30/12,37.5
1/31/12,50
2/1/12,40
2/2/12,37
2/3/12,36
2/4/12,35.5
2/5/12,37
2/6/12,31.5
2/7/12,32.5
2/8/12,31
2/9/12,28.5
2/10/12,25
2/11/12,15
2/12/12,25.5
2/13/12,25.5
2/14/12,32.5
2/15/12,36.5
2/16/12,40.5
2/17/12,38.5
2/18/12,33
2/19/12,31
2/20/12,33.5
2/21/12,37
2/22/12,36.5
2/23/12,34.5
2/24/12,30.5
2/25/12,21.5
2/26/12,35
2/27/12,32.5
2/28/12,33.5
2/29/12,47
3/1/12,37.5
3/2/12,37
3/3/12,32.5
3/4/12,29
3/5/12,29
3/6/12,49.5
3/7/12,61
3/8/12,50
3/9/12,34
3/10/12,43.5
3/11/12,55
3/12/12,58.5
3/13/12,59
3/14/12,63.5
3/15/12,64.5
3/16/12,64
3/17/12,70
3/18/12,69
3/19/12,69.5
3/20/12,74
3/21/12,74
3/22/12,71.5
3/23/12,59
3/24/12,56
3/25/12,57
3/26/12,42
3/27/12,57
3/28/12,56.5
3/29/12,44
3/30/12,46.5
3/31/12,44.5
4/1/12,49.5
4/2/12,54.5
4/3/12,59
4/4/12,52
4/5/12,43.5
4/6/12,43
4/7/12,50.5
4/8/12,55.5
4/9/12,52
4/10/12,40
4/11/12,43
4/12/12,47.5
4/13/12,53
4/14/12,60.5
4/15/12,69
4/16/12,55
4/17/12,48
4/18/12,56
4/19/12,53
4/20/12,44.5
4/21/12,44.5
4/22/12,47
4/23/12,49.5
4/24/12,52
4/25/12,53.5
4/26/12,47
4/27/12,44.5
4/28/12,47.5
4/29/12,50
